date,region,country,product,sales_rep,channel,segment,units_sold,unit_price_usd,discount_rate,revenue_usd,fleet_uptime,battery_health,co2_saved_tons
2024-04-03,North Africa,Tunisia,E-Bus 35,Yao Kouamé,Tender,Public Transport,1,210000,0.077,193830.0,0.958,0.891,3.85
2024-04-03,North Africa,Tunisia,Battery Pack Gen2,Awa Diallo,Partner,Private Fleet,1,45000,0.042,43110.0,0.995,0.936,2.07
2024-04-03,North Africa,Egypt,Battery Pack Gen2,Peter Otieno,Partner,Public Transport,1,45000,0.007,44685.0,0.976,0.972,3.74
2024-04-03,North Africa,Egypt,Onboard Charger 30kW,Peter Otieno,Direct,Public Transport,2,12000,0.024,23424.0,0.949,0.891,3.03
2024-04-04,East Africa,Kenya,Depot Charger 60kW,Peter Otieno,Direct,Private Fleet,1,25000,0.063,23425.0,0.883,0.99,2.13
2024-04-04,West Africa,Côte d'Ivoire,Battery Pack Gen2,Fatou Ndiaye,Tender,Private Fleet,2,45000,0.054,85140.0,0.995,0.924,5.46
2024-04-04,East Africa,Kenya,Depot Charger 60kW,Peter Otieno,Direct,Private Fleet,1,25000,0.043,23925.0,0.961,0.939,3.91
2024-04-04,East Africa,Uganda,E-Bus 35,Awa Diallo,Direct,Public Transport,1,210000,0.048,199920.0,0.945,0.935,2.93
2024-04-05,Southern Africa,Zambia,Battery Pack Gen2,Awa Diallo,Tender,Public Transport,1,45000,0.0,45000.0,0.954,0.858,3.03
2024-04-05,North Africa,Egypt,E-Bus 25,Peter Otieno,Partner,Private Fleet,1,155000,0.035,149575.0,0.947,0.927,2.34
2024-04-05,North Africa,Egypt,E-Bus 25,Lerato Moyo,Direct,Public Transport,5,155000,0.054,733150.0,0.944,0.934,11.58
2024-04-06,West Africa,Ghana,Onboard Charger 30kW,Peter Otieno,Direct,Shuttle Services,1,12000,0.0,12000.0,0.937,0.901,2.58
2024-04-06,West Africa,Ghana,E-Bus 35,John Mwangi,Tender,Shuttle Services,1,210000,0.014,207060.0,0.93,0.901,2.87
2024-04-06,North Africa,Morocco,Depot Charger 60kW,Yao Kouamé,Partner,Private Fleet,1,25000,0.03,24250.0,0.99,0.901,1.62
2024-04-06,West Africa,Ghana,Onboard Charger 30kW,Awa Diallo,Direct,Public Transport,1,12000,0.071,11148.0,0.958,0.901,3.12
2024-04-06,West Africa,Côte d'Ivoire,Battery Pack Gen2,Peter Otieno,Direct,Public Transport,1,45000,0.0,45000.0,0.975,0.92,3.15
2024-04-07,Southern Africa,Zambia,E-Bus 25,Fatou Ndiaye,Tender,Private Fleet,1,155000,0.057,146165.0,0.932,0.938,3.55
2024-04-08,West Africa,Côte d'Ivoire,E-Bus 25,John Mwangi,Partner,Public Transport,1,155000,0.084,141980.0,0.922,0.954,1.8
2024-04-08,East Africa,Tanzania,Depot Charger 60kW,Yao Kouamé,Direct,Public Transport,3,25000,0.0,75000.0,0.982,0.99,9.99
2024-04-08,North Africa,Egypt,E-Bus 35,Lerato Moyo,Partner,Public Transport,1,210000,0.101,188790.0,0.914,0.952,2.44
2024-04-09,North Africa,Morocco,Battery Pack Gen2,Peter Otieno,Direct,Shuttle Services,1,45000,0.01,44550.0,0.85,0.965,2.03
2024-04-09,East Africa,Uganda,Onboard Charger 30kW,Yao Kouamé,Tender,Shuttle Services,5,12000,0.114,53160.0,0.994,0.936,19.61
2024-04-09,East Africa,Tanzania,Battery Pack Gen2,Awa Diallo,Direct,Public Transport,1,45000,0.036,43380.0,0.947,0.862,3.53
2024-04-09,Southern Africa,Zimbabwe,Battery Pack Gen2,Peter Otieno,Direct,Private Fleet,1,45000,0.008,44640.0,0.984,0.885,2.12
2024-04-10,West Africa,Côte d'Ivoire,Onboard Charger 30kW,Yao Kouamé,Tender,Private Fleet,1,12000,0.034,11592.0,0.897,0.886,2.82
2024-04-10,East Africa,Tanzania,Onboard Charger 30kW,Yao Kouamé,Tender,Public Transport,2,12000,0.049,22824.0,0.947,0.921,3.37
2024-04-10,Southern Africa,Zimbabwe,Battery Pack Gen2,John Mwangi,Direct,Public Transport,1,45000,0.093,40815.0,0.919,0.914,1.77
2024-04-11,North Africa,Egypt,E-Bus 35,Yao Kouamé,Tender,Shuttle Services,1,210000,0.032,203280.0,0.883,0.934,3.53
2024-04-11,North Africa,Morocco,E-Bus 25,Fatou Ndiaye,Tender,Shuttle Services,1,155000,0.01,153450.0,0.995,0.967,3.97
2024-04-11,East Africa,Uganda,Depot Charger 60kW,Awa Diallo,Tender,Shuttle Services,2,25000,0.036,48200.0,0.866,0.884,4.37
2024-04-12,East Africa,Tanzania,Battery Pack Gen2,Awa Diallo,Direct,Public Transport,1,45000,0.024,43920.0,0.92,0.933,1.62
2024-04-12,Southern Africa,Zimbabwe,Onboard Charger 30kW,John Mwangi,Direct,Shuttle Services,1,12000,0.065,11220.0,0.923,0.99,2.55
2024-04-12,East Africa,Kenya,Depot Charger 60kW,Fatou Ndiaye,Direct,Public Transport,1,25000,0.082,22950.0,0.887,0.873,3.76
2024-04-12,North Africa,Morocco,Depot Charger 60kW,Peter Otieno,Direct,Private Fleet,1,25000,0.0,25000.0,0.934,0.977,3.61
2024-04-12,East Africa,Kenya,Battery Pack Gen2,Yao Kouamé,Direct,Public Transport,1,45000,0.065,42075.0,0.878,0.99,2.5
2024-04-12,North Africa,Morocco,Battery Pack Gen2,Fatou Ndiaye,Partner,Shuttle Services,1,45000,0.017,44235.0,0.958,0.899,2.36
2024-04-13,West Africa,Senegal,Depot Charger 60kW,Peter Otieno,Direct,Public Transport,1,25000,0.047,23825.0,0.941,0.941,1.7
2024-04-14,East Africa,Kenya,Depot Charger 60kW,Peter Otieno,Direct,Public Transport,1,25000,0.086,22850.0,0.895,0.975,2.66
2024-04-14,East Africa,Tanzania,E-Bus 25,Fatou Ndiaye,Partner,Shuttle Services,1,155000,0.021,151745.0,0.942,0.981,2.11
2024-04-14,East Africa,Uganda,E-Bus 45,John Mwangi,Partner,Shuttle Services,1,280000,0.0,280000.0,0.893,0.928,2.36
2024-04-15,North Africa,Morocco,Depot Charger 60kW,John Mwangi,Direct,Public Transport,1,25000,0.0,25000.0,0.968,0.921,2.09
2024-04-15,West Africa,Senegal,E-Bus 25,Peter Otieno,Tender,Public Transport,2,155000,0.054,293260.0,0.945,0.956,7.59
2024-04-15,Southern Africa,Zambia,Battery Pack Gen2,Lerato Moyo,Direct,Private Fleet,3,45000,0.111,120015.0,0.989,0.957,5.9
2024-04-15,West Africa,Ghana,E-Bus 35,Peter Otieno,Direct,Public Transport,1,210000,0.027,204330.0,0.959,0.854,1.89
2024-04-15,North Africa,Morocco,Depot Charger 60kW,Awa Diallo,Direct,Private Fleet,1,25000,0.008,24800.0,0.947,0.897,1.85
2024-04-15,East Africa,Kenya,E-Bus 25,Lerato Moyo,Direct,Public Transport,3,155000,0.058,438030.0,0.951,0.896,11.54
2024-04-16,North Africa,Egypt,E-Bus 25,Yao Kouamé,Direct,Private Fleet,1,155000,0.04,148800.0,0.93,0.942,2.81
2024-04-17,Southern Africa,South Africa,E-Bus 35,Awa Diallo,Direct,Shuttle Services,1,210000,0.081,192990.0,0.967,0.924,3.06
2024-04-17,Southern Africa,Zambia,Battery Pack Gen2,Fatou Ndiaye,Direct,Public Transport,2,45000,0.069,83790.0,0.995,0.927,3.76
2024-04-17,East Africa,Kenya,E-Bus 35,Awa Diallo,Direct,Private Fleet,2,210000,0.057,396060.0,0.93,0.953,7.11
2024-04-17,Southern Africa,Zimbabwe,Battery Pack Gen2,Peter Otieno,Direct,Private Fleet,1,45000,0.073,41715.0,0.912,0.955,3.23
2024-04-17,North Africa,Egypt,E-Bus 35,Yao Kouamé,Tender,Shuttle Services,1,210000,0.091,190890.0,0.928,0.862,2.22
2024-04-18,East Africa,Uganda,Onboard Charger 30kW,Fatou Ndiaye,Tender,Private Fleet,1,12000,0.057,11316.0,0.953,0.93,3.02
2024-04-18,West Africa,Ghana,Onboard Charger 30kW,Awa Diallo,Tender,Private Fleet,1,12000,0.016,11808.0,0.942,0.964,2.98
2024-04-18,East Africa,Uganda,E-Bus 25,Awa Diallo,Direct,Private Fleet,1,155000,0.044,148180.0,0.912,0.858,3.8
2024-04-19,West Africa,Senegal,Depot Charger 60kW,Lerato Moyo,Direct,Public Transport,2,25000,0.0,50000.0,0.913,0.891,4.06
2024-04-19,East Africa,Uganda,Battery Pack Gen2,Awa Diallo,Direct,Public Transport,1,45000,0.05,42750.0,0.945,0.893,3.37
2024-04-20,East Africa,Kenya,E-Bus 45,Fatou Ndiaye,Direct,Private Fleet,1,280000,0.054,264880.0,0.86,0.964,2.5
2024-04-20,West Africa,Ghana,E-Bus 25,Awa Diallo,Direct,Public Transport,2,155000,0.065,289850.0,0.931,0.977,7.89
2024-04-20,North Africa,Egypt,Battery Pack Gen2,Awa Diallo,Partner,Public Transport,1,45000,0.054,42570.0,0.995,0.926,2.35
2024-04-21,West Africa,Ghana,E-Bus 35,John Mwangi,Direct,Public Transport,1,210000,0.0,210000.0,0.993,0.87,2.45
2024-04-21,Southern Africa,Zimbabwe,E-Bus 35,Yao Kouamé,Direct,Private Fleet,1,210000,0.026,204540.0,0.929,0.939,3.94
2024-04-21,North Africa,Morocco,Battery Pack Gen2,Fatou Ndiaye,Tender,Private Fleet,1,45000,0.115,39825.0,0.96,0.895,3.59
2024-04-21,North Africa,Egypt,Depot Charger 60kW,Yao Kouamé,Partner,Private Fleet,2,25000,0.037,48150.0,0.98,0.925,5.49
2024-04-21,West Africa,Senegal,E-Bus 45,Lerato Moyo,Tender,Public Transport,1,280000,0.058,263760.0,0.969,0.987,1.94
2024-04-21,East Africa,Kenya,E-Bus 45,Peter Otieno,Partner,Public Transport,1,280000,0.08,257600.0,0.944,0.911,1.67
2024-04-21,Southern Africa,Zimbabwe,E-Bus 35,Awa Diallo,Partner,Private Fleet,3,210000,0.066,588420.0,0.936,0.918,6.52
2024-04-21,Southern Africa,Zimbabwe,Depot Charger 60kW,Fatou Ndiaye,Tender,Shuttle Services,1,25000,0.016,24600.0,0.926,0.99,2.36
2024-04-21,North Africa,Morocco,E-Bus 45,Yao Kouamé,Partner,Public Transport,1,280000,0.065,261800.0,0.956,0.876,2.98
2024-04-21,Southern Africa,South Africa,E-Bus 25,Fatou Ndiaye,Tender,Private Fleet,1,155000,0.078,142910.0,0.914,0.922,3.9
2024-04-22,West Africa,Ghana,E-Bus 25,Awa Diallo,Direct,Private Fleet,3,155000,0.063,435705.0,0.934,0.965,10.83
2024-04-22,West Africa,Ghana,Battery Pack Gen2,Awa Diallo,Partner,Public Transport,1,45000,0.048,42840.0,0.971,0.918,2.83
2024-04-22,West Africa,Ghana,E-Bus 45,Awa Diallo,Partner,Private Fleet,1,280000,0.0,280000.0,0.962,0.911,2.65
2024-04-22,West Africa,Côte d'Ivoire,E-Bus 25,Yao Kouamé,Partner,Shuttle Services,2,155000,0.08,285200.0,0.924,0.976,5.4
2024-04-22,East Africa,Uganda,E-Bus 45,Lerato Moyo,Direct,Public Transport,1,280000,0.037,269640.0,0.932,0.866,2.24
2024-04-22,West Africa,Senegal,E-Bus 25,Awa Diallo,Tender,Public Transport,1,155000,0.022,151590.0,0.911,0.909,3.89
2024-04-22,East Africa,Kenya,E-Bus 35,Peter Otieno,Direct,Shuttle Services,3,210000,0.119,555030.0,0.92,0.967,8.35
2024-04-22,West Africa,Ghana,E-Bus 35,John Mwangi,Direct,Shuttle Services,2,210000,0.099,378420.0,0.955,0.968,4.08
2024-04-22,East Africa,Uganda,Depot Charger 60kW,Awa Diallo,Direct,Public Transport,2,25000,0.025,48750.0,0.954,0.898,4.12
2024-04-23,East Africa,Uganda,E-Bus 35,Yao Kouamé,Tender,Shuttle Services,2,210000,0.069,391020.0,0.956,0.963,5.75
2024-04-23,Southern Africa,Zambia,E-Bus 45,Lerato Moyo,Direct,Private Fleet,1,280000,0.034,270480.0,0.947,0.919,2.7
2024-04-23,East Africa,Uganda,Battery Pack Gen2,John Mwangi,Partner,Shuttle Services,1,45000,0.086,41130.0,0.973,0.923,2.11
2024-04-24,East Africa,Kenya,Battery Pack Gen2,Peter Otieno,Partner,Private Fleet,1,45000,0.039,43245.0,0.915,0.892,3.54
2024-04-24,West Africa,Senegal,Depot Charger 60kW,John Mwangi,Direct,Private Fleet,5,25000,0.065,116875.0,0.899,0.95,15.43
2024-04-25,Southern Africa,Zimbabwe,Battery Pack Gen2,Yao Kouamé,Partner,Public Transport,2,45000,0.073,83430.0,0.969,0.892,3.37
2024-04-25,West Africa,Côte d'Ivoire,Battery Pack Gen2,Yao Kouamé,Direct,Private Fleet,1,45000,0.049,42795.0,0.921,0.913,3.55
2024-04-25,Southern Africa,Zimbabwe,Onboard Charger 30kW,Fatou Ndiaye,Partner,Public Transport,1,12000,0.013,11844.0,0.935,0.946,2.05
2024-04-25,West Africa,Ghana,Onboard Charger 30kW,Lerato Moyo,Direct,Shuttle Services,3,12000,0.08,33120.0,0.885,0.897,6.91
2024-04-25,West Africa,Ghana,Onboard Charger 30kW,Fatou Ndiaye,Direct,Private Fleet,1,12000,0.048,11424.0,0.974,0.934,3.43
2024-04-26,North Africa,Egypt,Depot Charger 60kW,Lerato Moyo,Direct,Public Transport,1,25000,0.064,23400.0,0.897,0.944,2.9
2024-04-26,North Africa,Morocco,E-Bus 25,Lerato Moyo,Partner,Public Transport,2,155000,0.037,298530.0,0.883,0.902,6.0
2024-04-26,North Africa,Tunisia,Onboard Charger 30kW,Awa Diallo,Tender,Shuttle Services,1,12000,0.0,12000.0,0.921,0.937,1.76
2024-04-26,West Africa,Ghana,Depot Charger 60kW,Lerato Moyo,Direct,Public Transport,2,25000,0.081,45950.0,0.943,0.865,7.89
2024-04-27,North Africa,Morocco,Battery Pack Gen2,Yao Kouamé,Partner,Public Transport,3,45000,0.017,132705.0,0.942,0.894,9.82
2024-04-27,North Africa,Egypt,Depot Charger 60kW,Peter Otieno,Direct,Shuttle Services,1,25000,0.053,23675.0,0.969,0.912,3.11
2024-04-27,East Africa,Tanzania,E-Bus 45,John Mwangi,Direct,Public Transport,1,280000,0.09,254800.0,0.93,0.937,3.94
2024-04-28,West Africa,Côte d'Ivoire,Onboard Charger 30kW,Lerato Moyo,Direct,Private Fleet,1,12000,0.045,11460.0,0.917,0.904,2.01
2024-04-28,Southern Africa,South Africa,Battery Pack Gen2,John Mwangi,Partner,Public Transport,1,45000,0.008,44640.0,0.893,0.99,3.31
2024-04-28,North Africa,Egypt,Depot Charger 60kW,Peter Otieno,Direct,Public Transport,1,25000,0.094,22650.0,0.981,0.895,3.29
2024-04-28,North Africa,Egypt,E-Bus 35,Peter Otieno,Direct,Private Fleet,1,210000,0.062,196980.0,0.937,0.891,1.74
2024-04-29,East Africa,Uganda,E-Bus 35,Peter Otieno,Direct,Private Fleet,1,210000,0.036,202440.0,0.95,0.918,2.09
2024-04-29,Southern Africa,Zambia,E-Bus 25,John Mwangi,Direct,Private Fleet,1,155000,0.064,145080.0,0.995,0.87,3.87
2024-04-29,East Africa,Tanzania,E-Bus 25,Awa Diallo,Partner,Public Transport,1,155000,0.071,143995.0,0.969,0.964,2.9
2024-04-29,Southern Africa,South Africa,E-Bus 25,Lerato Moyo,Direct,Private Fleet,3,155000,0.045,444075.0,0.962,0.917,6.87
2024-04-30,East Africa,Tanzania,Battery Pack Gen2,Fatou Ndiaye,Direct,Public Transport,3,45000,0.004,134460.0,0.955,0.835,8.49
2024-04-30,Southern Africa,Zambia,E-Bus 35,John Mwangi,Direct,Private Fleet,3,210000,0.059,592830.0,0.948,0.894,7.83
2024-05-01,North Africa,Tunisia,Depot Charger 60kW,Peter Otieno,Direct,Private Fleet,3,25000,0.069,69825.0,0.944,0.94,8.83
2024-05-01,West Africa,Côte d'Ivoire,Battery Pack Gen2,Lerato Moyo,Direct,Shuttle Services,5,45000,0.08,207000.0,0.93,0.928,11.11
2024-05-01,Southern Africa,Zambia,E-Bus 45,Lerato Moyo,Tender,Public Transport,3,280000,0.039,807240.0,0.963,0.907,6.73
2024-05-01,Southern Africa,South Africa,E-Bus 35,Awa Diallo,Direct,Public Transport,1,210000,0.078,193620.0,0.91,0.834,2.09
2024-05-01,East Africa,Uganda,E-Bus 35,John Mwangi,Partner,Public Transport,1,210000,0.05,199500.0,0.989,0.945,3.62
2024-05-01,North Africa,Morocco,Onboard Charger 30kW,Awa Diallo,Direct,Public Transport,1,12000,0.052,11376.0,0.995,0.949,3.41
2024-05-01,West Africa,Côte d'Ivoire,Onboard Charger 30kW,Fatou Ndiaye,Partner,Shuttle Services,1,12000,0.054,11352.0,0.951,0.871,2.7
2024-05-02,West Africa,Ghana,Battery Pack Gen2,Peter Otieno,Partner,Public Transport,1,45000,0.036,43380.0,0.91,0.958,2.53
2024-05-02,East Africa,Tanzania,E-Bus 35,Peter Otieno,Direct,Private Fleet,1,210000,0.055,198450.0,0.912,0.976,2.88
2024-05-02,North Africa,Morocco,Depot Charger 60kW,Fatou Ndiaye,Direct,Private Fleet,1,25000,0.048,23800.0,0.98,0.937,3.12
2024-05-03,North Africa,Egypt,Onboard Charger 30kW,Peter Otieno,Direct,Private Fleet,1,12000,0.025,11700.0,0.995,0.872,3.34
2024-05-03,West Africa,Senegal,E-Bus 35,Awa Diallo,Direct,Public Transport,1,210000,0.059,197610.0,0.957,0.872,2.14
2024-05-03,East Africa,Kenya,E-Bus 25,Awa Diallo,Tender,Public Transport,1,155000,0.007,153915.0,0.883,0.959,3.98
2024-05-03,North Africa,Egypt,E-Bus 25,John Mwangi,Direct,Shuttle Services,2,155000,0.083,284270.0,0.964,0.868,5.98
2024-05-03,East Africa,Kenya,E-Bus 35,Awa Diallo,Partner,Public Transport,2,210000,0.034,405720.0,0.946,0.866,5.96
2024-05-04,West Africa,Ghana,E-Bus 45,Lerato Moyo,Partner,Private Fleet,1,280000,0.075,259000.0,0.943,0.893,3.89
2024-05-04,East Africa,Kenya,Onboard Charger 30kW,Awa Diallo,Direct,Public Transport,1,12000,0.0,12000.0,0.925,0.89,3.18
2024-05-04,North Africa,Egypt,E-Bus 35,Awa Diallo,Partner,Private Fleet,1,210000,0.074,194460.0,0.92,0.873,2.45
2024-05-05,West Africa,Côte d'Ivoire,Depot Charger 60kW,Fatou Ndiaye,Partner,Private Fleet,1,25000,0.051,23725.0,0.866,0.955,3.07
2024-05-05,West Africa,Côte d'Ivoire,Battery Pack Gen2,Lerato Moyo,Direct,Public Transport,2,45000,0.0,90000.0,0.927,0.898,7.79
2024-05-05,West Africa,Côte d'Ivoire,Battery Pack Gen2,Awa Diallo,Direct,Public Transport,1,45000,0.035,43425.0,0.968,0.888,2.7
2024-05-05,North Africa,Morocco,E-Bus 35,Yao Kouamé,Partner,Shuttle Services,1,210000,0.061,197190.0,0.942,0.841,2.6
2024-05-06,West Africa,Côte d'Ivoire,Depot Charger 60kW,Fatou Ndiaye,Direct,Private Fleet,1,25000,0.048,23800.0,0.896,0.946,2.24
2024-05-06,Southern Africa,Zimbabwe,E-Bus 35,Yao Kouamé,Direct,Public Transport,1,210000,0.091,190890.0,0.928,0.927,2.77
2024-05-07,North Africa,Tunisia,E-Bus 45,Yao Kouamé,Direct,Private Fleet,1,280000,0.038,269360.0,0.905,0.911,3.48
2024-05-07,East Africa,Tanzania,Onboard Charger 30kW,Yao Kouamé,Direct,Public Transport,1,12000,0.019,11772.0,0.94,0.943,1.77
2024-05-07,North Africa,Tunisia,E-Bus 45,Peter Otieno,Direct,Public Transport,1,280000,0.038,269360.0,0.957,0.964,3.04
2024-05-07,East Africa,Tanzania,E-Bus 45,John Mwangi,Tender,Shuttle Services,2,280000,0.066,523040.0,0.974,0.875,5.19
2024-05-07,East Africa,Kenya,Battery Pack Gen2,John Mwangi,Direct,Private Fleet,2,45000,0.0,90000.0,0.937,0.86,7.45
2024-05-07,Southern Africa,South Africa,E-Bus 25,Peter Otieno,Partner,Private Fleet,1,155000,0.042,148490.0,0.947,0.902,1.68
2024-05-07,North Africa,Tunisia,E-Bus 25,Yao Kouamé,Partner,Public Transport,1,155000,0.018,152210.0,0.887,0.97,1.67
2024-05-08,East Africa,Uganda,Onboard Charger 30kW,Awa Diallo,Tender,Private Fleet,1,12000,0.056,11328.0,0.914,0.885,1.67
2024-05-08,East Africa,Tanzania,E-Bus 45,John Mwangi,Direct,Public Transport,1,280000,0.049,266280.0,0.91,0.922,3.04
2024-05-09,East Africa,Tanzania,E-Bus 35,Awa Diallo,Direct,Private Fleet,1,210000,0.075,194250.0,0.925,0.89,3.82
2024-05-10,East Africa,Uganda,Onboard Charger 30kW,Lerato Moyo,Tender,Shuttle Services,3,12000,0.075,33300.0,0.916,0.969,9.96
2024-05-10,Southern Africa,Zimbabwe,Depot Charger 60kW,Fatou Ndiaye,Direct,Private Fleet,1,25000,0.046,23850.0,0.992,0.932,1.77
2024-05-11,North Africa,Morocco,E-Bus 45,Yao Kouamé,Partner,Private Fleet,1,280000,0.104,250880.0,0.959,0.933,3.4
2024-05-11,Southern Africa,Zambia,Depot Charger 60kW,Awa Diallo,Partner,Shuttle Services,1,25000,0.077,23075.0,0.947,0.912,3.14
2024-05-11,East Africa,Tanzania,Onboard Charger 30kW,Lerato Moyo,Partner,Public Transport,1,12000,0.058,11304.0,0.984,0.862,1.87
2024-05-11,Southern Africa,Zambia,Battery Pack Gen2,Yao Kouamé,Direct,Public Transport,1,45000,0.017,44235.0,0.92,0.947,1.84
2024-05-12,Southern Africa,South Africa,E-Bus 25,Lerato Moyo,Direct,Private Fleet,1,155000,0.033,149885.0,0.995,0.897,2.95
2024-05-13,West Africa,Ghana,E-Bus 25,Yao Kouamé,Partner,Shuttle Services,1,155000,0.056,146320.0,0.942,0.972,2.43
2024-05-13,West Africa,Ghana,Onboard Charger 30kW,Awa Diallo,Direct,Public Transport,1,12000,0.056,11328.0,0.957,0.99,3.46
2024-05-13,Southern Africa,Zimbabwe,E-Bus 45,Lerato Moyo,Partner,Private Fleet,3,280000,0.018,824880.0,0.949,0.865,11.85
2024-05-13,Southern Africa,South Africa,Onboard Charger 30kW,Lerato Moyo,Tender,Public Transport,1,12000,0.06,11280.0,0.936,0.901,3.68
2024-05-13,East Africa,Kenya,E-Bus 45,Yao Kouamé,Direct,Private Fleet,1,280000,0.002,279440.0,0.946,0.905,2.74
2024-05-13,East Africa,Kenya,E-Bus 25,Awa Diallo,Direct,Private Fleet,1,155000,0.073,143685.0,0.977,0.916,2.15
2024-05-13,Southern Africa,Zimbabwe,Battery Pack Gen2,John Mwangi,Direct,Private Fleet,1,45000,0.044,43020.0,0.924,0.919,1.66
2024-05-14,Southern Africa,Zimbabwe,E-Bus 25,Fatou Ndiaye,Tender,Private Fleet,3,155000,0.047,443145.0,0.922,0.955,11.86
2024-05-14,West Africa,Senegal,Depot Charger 60kW,John Mwangi,Direct,Public Transport,1,25000,0.022,24450.0,0.922,0.985,1.72
2024-05-14,West Africa,Ghana,Depot Charger 60kW,Yao Kouamé,Direct,Public Transport,1,25000,0.057,23575.0,0.983,0.866,3.62
2024-05-14,West Africa,Senegal,E-Bus 25,Lerato Moyo,Tender,Private Fleet,1,155000,0.067,144615.0,0.993,0.879,2.86
2024-05-15,North Africa,Tunisia,Onboard Charger 30kW,Yao Kouamé,Direct,Public Transport,2,12000,0.007,23832.0,0.943,0.906,5.26
2024-05-15,West Africa,Côte d'Ivoire,Depot Charger 60kW,John Mwangi,Direct,Private Fleet,3,25000,0.065,70125.0,0.935,0.99,5.29
2024-05-15,North Africa,Tunisia,Battery Pack Gen2,John Mwangi,Direct,Public Transport,1,45000,0.088,41040.0,0.919,0.882,3.11
2024-05-16,North Africa,Tunisia,E-Bus 35,Fatou Ndiaye,Direct,Shuttle Services,1,210000,0.016,206640.0,0.924,0.899,3.73
2024-05-16,North Africa,Tunisia,E-Bus 35,Lerato Moyo,Partner,Public Transport,2,210000,0.051,398580.0,0.982,0.917,7.92
2024-05-16,East Africa,Tanzania,Depot Charger 60kW,Peter Otieno,Tender,Shuttle Services,1,25000,0.064,23400.0,0.952,0.889,1.73
2024-05-16,North Africa,Morocco,Battery Pack Gen2,John Mwangi,Direct,Private Fleet,1,45000,0.058,42390.0,0.949,0.99,2.29
2024-05-16,Southern Africa,Zambia,Battery Pack Gen2,Peter Otieno,Direct,Public Transport,2,45000,0.061,84510.0,0.942,0.962,4.22
2024-05-17,East Africa,Kenya,E-Bus 45,John Mwangi,Direct,Private Fleet,1,280000,0.087,255640.0,0.986,0.96,2.68
2024-05-18,North Africa,Tunisia,E-Bus 35,Awa Diallo,Partner,Shuttle Services,1,210000,0.037,202230.0,0.933,0.896,3.67
2024-05-18,Southern Africa,Zambia,E-Bus 35,Yao Kouamé,Direct,Public Transport,1,210000,0.072,194880.0,0.96,0.872,3.77
2024-05-18,Southern Africa,Zimbabwe,Depot Charger 60kW,Fatou Ndiaye,Direct,Public Transport,1,25000,0.075,23125.0,0.911,0.908,2.53
2024-05-18,Southern Africa,Zambia,E-Bus 45,Awa Diallo,Direct,Private Fleet,3,280000,0.071,780360.0,0.927,0.941,10.15
2024-05-19,Southern Africa,Zambia,Onboard Charger 30kW,Fatou Ndiaye,Partner,Private Fleet,1,12000,0.042,11496.0,0.896,0.91,1.8
2024-05-20,East Africa,Kenya,E-Bus 45,Awa Diallo,Tender,Public Transport,1,280000,0.07,260400.0,0.986,0.906,2.35
2024-05-21,West Africa,Côte d'Ivoire,Depot Charger 60kW,Yao Kouamé,Direct,Shuttle Services,1,25000,0.074,23150.0,0.948,0.946,3.57
